V2_mean	Isense_mean	dt
510	510	500	0
PWM	V2_read	Isense_read
0	510	511
1	510	511
1	510	511
2	510	510
3	509	511
3	510	511
5	510	511
5	510	511
6	510	511
7	510	511
7	509	511
8	510	511
9	510	511
10	510	511
10	511	511
11	510	511
12	511	511
13	510	510
14	510	510
14	510	511
15	510	511
16	510	511
16	510	511
17	510	510
18	510	511
19	511	511
19	510	510
20	510	511
21	510	511
22	511	510
23	511	511
23	511	511
24	510	511
24	510	511
26	512	511
26	510	510
27	513	511
28	510	511
28	515	510
29	511	511
30	516	511
31	511	511
32	511	511
32	510	510
33	511	511
33	511	510
35	519	511
35	511	510
36	521	511
37	511	511
37	511	511
38	511	511
39	523	510
40	511	511
40	526	511
41	511	510
42	512	511
42	517	511
44	532	512
44	522	511
45	546	513
46	540	511
46	554	511
47	566	511
48	633	515
49	594	510
49	583	516
50	624	510
51	637	511
51	651	512
53	509	519
53	674	511
54	452	522
55	695	511
55	703	511
56	706	512
57	513	523
58	701	511
58	626	524
59	693	511
60	681	511
60	663	512
62	728	519
62	693	513
63	986	527
64	743	511
64	741	512
65	725	512
66	879	528
67	717	512
67	803	531
68	702	512
69	691	512
69	681	513
71	693	533
71	661	513
72	620	535
72	641	513
73	631	513
74	622	513
75	531	535
76	607	514
76	502	535
77	595	513
78	605	514
78	620	515
80	531	536
80	638	515
81	535	535
81	621	514
82	610	515
83	601	515
84	493	534
85	585	516
85	477	534
86	568	515
87	560	516
87	554	516
88	441	534
89	542	517
90	450	537
90	580	518
91	599	518
92	612	518
93	522	534
94	606	519
94	503	533
95	587	518
96	577	519
96	569	519
97	459	533
98	552	520
99	442	529
99	537	520
100	527	519
101	519	520
102	421	531
103	553	523
103	477	531
104	596	523
104	605	523
105	603	522
106	500	528
107	585	524
108	478	530
108	569	524
109	559	525
110	551	526
111	437	528
112	532	527
112	412	529
113	513	526
113	508	528
114	525	530
115	453	533
116	581	533
117	504	530
117	605	531
118	599	531
119	590	533
120	482	529
120	575	534
121	458	527
122	556	534
122	546	535
123	535	533
124	408	527
125	518	534
126	385	530
126	512	540
127	535	542
128	568	543
128	487	529
128	502	530
128	508	526
128	598	541
128	587	542
128	470	528
128	457	530
128	563	541
128	552	542
128	539	543
128	527	539
128	517	538
128	505	538
128	365	529
128	493	539
128	392	531
128	547	544
128	567	546
128	580	547
128	589	543
128	586	544
128	578	542
128	461	529
128	561	543
128	552	545
128	542	542
128	530	543
128	518	541
128	506	539
128	495	540
128	352	537
128	343	530
128	491	542
128	524	546
128	550	547
128	568	544
128	579	547
128	582	543
128	469	542
128	566	546
128	557	542
128	549	545
128	539	544
128	527	542
128	514	541
128	502	540
128	362	539
128	481	539
128	477	539
128	480	540
128	509	546
128	539	546
128	560	545
128	572	549
128	578	544
128	469	528
128	565	545
128	556	543
128	548	545
128	539	544
128	527	542
128	514	542
128	502	541
128	361	528
128	480	540
128	476	536
128	475	540
128	491	544
128	527	546
128	549	550
128	565	545
128	574	546
128	575	543
128	565	545
128	557	548
128	548	544
128	539	545
128	529	543
128	516	542
128	504	543
128	493	539
128	481	539
128	476	538
128	474	538
128	480	545
128	514	546
128	543	547
128	454	531
128	570	544
128	575	547
128	568	544
128	559	544
128	550	546
128	542	543
128	532	543
128	393	529
128	506	542
128	495	539
128	484	541
128	476	538
128	474	537
128	476	544
128	372	545
128	416	529
128	554	547
128	567	545
128	574	547
128	570	544
128	561	544
128	552	546
128	425	543
128	412	528
128	398	530
128	510	541
128	498	540
128	487	541
128	477	538
128	474	539
128	474	540
128	360	531
128	524	550
128	548	546
128	562	547
128	572	548
128	572	543
128	564	545
128	442	544
128	427	531
128	537	545
128	527	546
128	514	542
128	502	540
128	490	541
128	480	539
128	334	536
128	473	541
128	479	542
128	512	545
128	540	549
128	558	545
128	570	547
128	573	546
128	567	543
128	558	545
128	549	544
128	541	544
128	530	545
128	518	543
128	505	541
128	493	541
128	482	540
128	476	537
128	473	540
128	475	542
128	497	545
128	533	549
128	554	546
128	566	547
128	573	548
128	570	543
128	561	544
128	552	545
128	544	543
128	535	545
128	524	545
128	510	542
128	498	540
128	487	541
128	476	538
128	474	538
128	473	541
128	486	543
128	521	548
128	545	546
128	561	546
128	574	549
128	572	544
128	564	545
128	554	545
128	547	544
128	538	547
128	526	543
128	513	542
128	374	531
128	490	540
128	479	539
128	474	538
128	474	538
128	477	545
128	510	546
128	424	551
128	451	532
128	567	545
128	574	544
128	567	543
128	558	547
128	549	545
128	541	544
128	407	545
128	393	531
128	505	541
128	494	542
128	483	539
128	476	537
128	473	540
128	475	541
128	369	547
128	413	532
128	551	546
128	564	546
128	572	546
128	570	543
128	561	545
128	552	547
128	426	544
128	412	529
128	522	546
128	509	542
128	498	541
128	487	540
128	476	538
128	474	536
128	330	541
128	360	533
128	522	546
128	546	548
128	561	547
128	571	544
128	572	546
128	565	543
128	443	544
128	429	528
128	538	545
128	526	543
128	514	543
128	502	541
128	490	539
128	479	541
128	334	537
128	472	537
128	477	544
128	507	545
128	539	548
128	556	548
128	568	544
128	573	545
128	567	544
128	560	544
128	549	548
128	541	544
128	531	544
128	518	543
128	506	541
128	495	541
128	352	539
128	475	537
128	473	539
128	474	543
128	495	545
128	530	549
128	551	547
128	565	544
128	573	546
128	466	531
128	561	543
128	552	548
128	544	545
128	532	544
128	522	544
128	509	542
128	371	541
128	357	529
128	476	539
128	473	535
128	473	542
128	486	545
128	521	547
128	544	551
128	562	545
128	470	529
128	573	546
128	564	543
128	555	545
128	547	547
128	538	544
128	527	544
128	514	542
128	375	531
128	490	542
128	480	538
128	474	536
128	473	541
128	477	543
128	509	548
128	423	548
128	451	531
128	568	548
128	573	543
128	568	544
128	558	546
128	549	544
128	541	546
128	531	543
128	394	529
128	505	544
128	494	540
128	483	539
128	475	539
128	473	537
128	474	542
128	367	546
128	530	546
128	550	548
128	564	545
128	572	545
128	570	547
128	561	543
128	552	546
128	426	543
128	413	528
128	523	546
128	509	541
128	498	540
128	487	541
128	476	538
128	474	538
128	473	540
128	356	531
128	518	549
128	545	545
128	560	547
128	570	547
128	573	544
128	564	545
128	555	544
128	431	531
128	538	547
128	527	543
128	514	542
128	502	542
128	490	540
128	480	538
128	335	540
128	472	538
128	476	541
128	503	548
128	537	546
128	556	546
128	566	550
128	573	543
128	568	545
128	559	545
128	550	544
128	542	548
128	532	544
128	519	542
128	506	543
128	495	541
128	353	539
128	475	540
128	473	536
128	474	541
128	492	545
128	529	546
128	550	550
128	564	546
128	573	545
128	466	530
128	562	543
128	553	546
128	544	546
128	535	543
128	523	545
128	511	542
128	372	541
128	358	529
128	476	539
128	475	536
128	473	541
128	482	544
128	517	547
128	541	551
128	560	545
128	470	528
128	573	546
128	565	543
128	556	544
128	547	548
128	541	543
128	528	543
128	391	543
128	377	531
128	492	540
128	482	541
128	478	537
128	473	539
128	476	543
128	507	546
128	421	550
128	450	532
128	567	545
128	573	545
128	568	543
128	558	544
128	550	546
128	542	545
128	409	543
128	395	528
128	506	542
128	495	541
128	483	539
128	477	540
128	473	537
128	474	540
128	491	546
128	408	533
128	547	546
128	564	548
128	572	546
128	571	544
128	562	547
128	553	543
128	545	546
128	536	547
128	524	543
128	511	542
128	499	542
128	488	539
128	477	540
128	474	537
128	473	538
128	353	532
128	515	545
128	543	549
128	559	547
128	570	545
128	573	546
128	565	543
128	554	545
128	547	547
128	538	543
128	527	543
128	515	543
128	503	541
128	491	541
128	480	539
128	336	536
128	326	531
128	476	542
128	504	547
128	537	547
128	555	546
128	566	548
128	573	543
128	568	546
128	449	530
128	436	530
128	542	547
128	532	543
128	520	544
128	507	543
128	495	540
128	354	539
128	341	531
128	473	537
128	474	542
128	492	545
128	528	548
128	549	547
128	563	545
128	473	548
128	467	531
128	565	545
128	553	545
128	545	544
128	536	547
128	524	543
128	511	543
128	373	541
128	359	529
128	477	541
128	473	537
128	472	539
128	480	545
128	515	546
128	542	547
128	455	550
128	470	533
128	572	545
128	565	545
128	556	545
128	547	547
128	539	545
128	528	543
128	391	543
128	503	542
128	492	540
128	480	541
128	474	537
128	472	539
128	474	543
128	502	546
128	418	550
128	447	533
128	566	545
128	572	546
128	568	544
128	559	544
128	550	547
128	542	546
128	532	544
128	520	543
128	506	543
128	495	541
128	484	539
128	476	540
128	473	537
128	473	540
128	489	545
128	405	532
128	547	548
128	562	547
128	571	544
128	571	546
128	562	545
128	553	543
128	546	547
128	536	545
128	524	543
128	511	542
128	499	542
128	488	540
128	478	539
128	474	538
128	473	537
128	479	544
128	514	545
128	542	547
128	558	549
128	569	544
128	572	545
128	565	547
128	445	544
128	432	529
128	540	548
128	528	543
128	515	542
128	504	541
128	492	541
128	481	539
128	474	538
128	327	532
128	476	541
128	501	547
128	536	546
128	554	547
128	566	549
128	571	544
128	465	544
128	451	530
128	550	544
128	543	546
128	533	545
128	520	542
128	507	543
128	496	541
128	356	539
128	342	530
128	473	538
128	474	540
128	489	546
128	526	546
128	548	547
128	562	549
128	473	544
128	468	530
128	562	546
128	554	544
128	545	545
128	537	548
128	525	544
128	513	542
128	374	542
128	489	540
128	478	539
128	474	539
128	472	541
128	478	542
128	512	547
128	540	546
128	454	546
128	469	529
128	572	545
128	566	544
128	556	545
128	548	546
128	540	544
128	529	545
128	516	544
128	504	542
128	493	539
128	480	540
128	474	538
128	472	538
128	475	545
128	503	545
128	535	547
128	553	546
128	566	545
128	574	547
128	568	545
128	559	544
128	550	547
128	542	544
128	532	543
128	396	528
128	507	543
128	496	540
128	484	540
128	475	539
128	473	536
128	473	543
128	487	544
128	523	547
128	546	548
128	562	545
128	571	546
128	572	546
128	563	544
128	554	546
128	546	544
128	416	529
128	525	547
128	512	542
128	500	541
128	489	541
128	478	538
128	474	540
128	472	539
128	349	530
128	511	546
128	540	548
128	557	547
128	568	545
128	572	547
128	565	543
128	446	545
128	433	529
128	539	543
128	529	544
128	516	543
128	503	541
128	492	541
128	481	540
128	338	536
128	326	531
128	474	542
128	497	547
128	533	548
128	552	545
128	565	549
128	573	543
128	466	546
128	452	530
128	551	544
128	542	546
128	534	543
128	521	543
128	508	543
128	497	541
128	357	540
128	343	531
128	473	537
128	473	542
128	486	543
128	522	547
128	547	547
128	561	545
128	473	547
128	571	546
128	562	544
128	554	546
128	545	543
128	537	544
128	525	546
128	512	542
128	500	541
128	361	531
128	479	538
128	473	539
128	472	538
128	477	542
128	509	547
128	539	546
128	453	550
128	469	532
128	572	544
128	566	546
128	558	543
128	549	544
128	540	548
128	530	543
128	516	542
128	505	542
128	493	541
128	482	539
128	475	539
128	472	537
128	474	541
128	496	546
128	531	547
128	552	549
128	565	547
128	573	543
128	569	545
128	560	543
128	553	544
128	541	547
128	533	544
128	521	543
128	508	543
128	497	541
128	485	539
128	476	539
128	473	536
128	473	542
128	361	544
128	402	528
128	545	549
128	561	545
128	569	546
128	572	543
128	563	544
128	555	548
128	432	544
128	418	528
128	526	545
128	513	542
128	501	542
128	490	541
128	479	537
128	474	538
128	327	540
128	348	531
128	509	550
128	539	546
128	558	547
128	569	545
128	571	543
128	568	547
128	557	545
128	435	527
128	540	546
128	530	543
128	517	544
128	504	541
128	493	540
128	482	542
128	339	538
128	328	528
128	474	543
128	495	545
128	531	548
128	551	546
128	563	546
128	572	549
128	467	544
128	560	546
128	552	544
128	543	545
128	534	547
128	522	542
128	509	542
128	497	541
128	358	539
128	476	540
128	473	536
128	473	540
128	488	545
128	523	547
128	545	551
128	561	545
128	473	545
128	572	544
128	560	544
128	554	548
128	545	544
128	537	545
128	526	543
128	513	543
128	500	543
128	490	540
128	478	537
128	474	540
128	473	539
128	477	542
128	507	549
128	538	547
128	555	546
128	567	546
128	572	544
128	566	546
128	557	545
128	549	544
128	540	546
128	530	542
128	518	544
128	505	543
128	494	540
128	483	540
128	474	539
128	473	537
128	474	544
128	494	545
128	529	548
128	444	532
128	463	532
128	572	548
128	569	544
128	560	544
128	551	547
128	543	544
128	413	545
128	399	530
128	386	531
128	497	540
128	486	541
128	475	538
128	473	539
128	473	542
128	361	543
128	402	530
128	434	533
128	561	547
128	569	548
128	572	543
128	564	546
128	554	543
128	432	545
128	419	529
128	527	543
128	514	542
128	501	542
128	490	540
128	479	540
128	474	539
128	328	538
128	348	530
128	508	545
128	537	547
128	556	550
128	566	545
128	573	544
128	567	546
128	557	544
128	436	531
128	540	546
128	531	545
128	518	542
128	505	542
128	494	541
128	483	539
128	341	539
128	472	538
128	473	540
128	491	547
128	528	545
128	549	548
128	563	547
128	571	545
128	570	547
128	454	531
128	551	546
128	544	545
128	534	544
128	523	543
128	509	541
128	498	542
128	359	540
128	476	537
128	473	539
128	472	540
128	482	545
128	518	547
128	543	546
128	559	549
128	569	545
128	571	546
128	563	546
128	554	544
128	546	546
128	538	543
128	526	544
128	514	545
128	377	541
128	490	539
128	479	541
128	473	537
128	472	538
128	475	544
128	502	545
128	536	548
128	555	545
128	566	545
128	572	548
128	567	544
128	558	544
128	549	546
128	541	543
128	531	544
128	518	546
128	382	531
128	494	540
128	483	541
128	472	538
128	472	539
128	474	542
128	494	544
128	412	549
128	443	533
128	563	546
128	572	549
128	569	543
128	561	544
128	552	545
128	544	543
128	415	547
128	401	531
128	509	542
128	498	542
128	487	541
128	475	538
128	473	539
128	472	540
128	355	543
128	396	531
128	542	546
128	559	546
128	569	549
128	572	545
128	564	544
128	555	545
128	433	545
128	420	531
128	527	545
128	515	544
128	502	541
128	491	540
128	479	541
128	474	537
128	327	538
128	475	542
128	504	545
128	535	548
128	554	546
128	566	546
128	572	548
128	567	543
128	558	545
128	549	546
128	541	544
128	531	545
128	518	544
128	505	541
128	494	540
128	483	541
128	341	538
128	472	538
128	473	541
128	491	544
128	526	548
128	547	547
128	562	546
128	571	548
128	570	545
128	455	531
128	552	545
128	544	544
128	535	543
128	524	545
128	510	543
128	499	540
128	360	540
128	477	540
128	473	536
128	473	540
128	480	544
128	514	547
128	542	549
128	558	546
128	569	547
128	572	547
128	564	544
128	555	544
128	546	547
128	538	543
128	527	544
128	515	544
128	502	542
128	365	531
128	480	538
128	474	540
128	472	539
128	474	542
128	500	548
128	535	546
128	449	547
128	467	530
128	572	544
128	568	544
128	558	548
128	546	545
128	542	544
128	532	546
128	398	543
128	384	531
128	370	528
128	484	540
128	475	537
128	472	539
128	473	542
128	491	546
128	410	551
128	442	532
128	562	547
128	571	546
128	566	543
128	565	548
128	555	544
128	544	544
128	416	545
128	401	531
128	510	544
128	499	542
128	487	539
128	477	541
128	473	538
128	472	539
128	356	544
128	396	533
128	541	547
128	559	547
128	569	545
128	572	546
128	564	548
128	556	544
128	434	545
128	538	546
128	528	543
128	517	543
128	503	544
128	491	541
128	480	538
128	474	538
128	471	540
128	344	532
128	503	548
128	533	548
128	554	545
128	566	546
128	572	545
128	568	543
128	558	546
128	549	547
128	541	544
128	532	545
128	519	542
128	507	542
128	495	542
128	484	540
128	343	538
128	472	539
128	472	541
128	488	548
128	524	546
128	546	547
128	561	548
128	570	545
128	570	546
128	456	530
128	553	544
128	543	547
128	535	543
128	524	543
128	511	545
128	499	541
128	489	539
128	348	529
128	473	539
128	472	539
128	478	545
128	511	547
128	540	546
128	558	549
128	568	545
128	474	528
128	565	548
128	556	543
128	547	545
128	539	545
128	528	543
128	516	544
128	503	542
128	366	531
128	480	539
128	472	539
128	472	538
128	475	543
128	500	547
128	534	546
128	448	547
128	467	531
128	572	544
128	567	546
128	559	546
128	550	544
128	542	545
128	531	543
128	398	543
128	383	529
128	495	541
128	484	538
128	475	540
128	472	537
128	473	542
128	489	545
128	407	547
128	440	531
128	561	545
128	571	547
128	570	545
128	561	544
128	552	547
128	544	544
128	536	546
128	524	544
128	511	542
128	499	541
128	487	540
128	477	539
128	473	539
128	472	539
128	476	542
128	390	533
128	539	547
128	556	548
128	568	546
128	572	544
128	565	547
