V2_mean	Isense_mean	dt
509	510	500
PWM	V2_read	Isense_read
1	510	511
2	510	510
3	510	511
5	509	510
6	510	511
7	510	511
10	510	510
11	510	511
12	510	511
14	510	511
15	510	511
16	510	510
19	511	510
20	510	511
21	509	511
22	510	511
24	510	510
25	511	510
28	512	510
29	510	511
30	510	510
31	513	510
33	518	511
35	510	511
36	522	510
38	511	511
39	529	511
40	518	511
42	530	511
44	627	518
45	512	524
47	634	511
48	705	512
49	786	511
51	868	511
53	943	512
54	567	536
56	1023	512
57	776	532
58	1023	512
59	1023	512
62	994	525
63	1023	512
65	1023	533
66	1023	513
67	1023	513
68	1013	512
71	1023	545
72	972	514
73	952	547
75	950	515
76	938	515
77	918	516
80	811	546
81	879	516
82	760	551
84	837	517
85	818	518
86	800	518
89	666	551
90	764	521
91	635	545
93	727	522
94	713	523
95	715	524
98	625	551
99	745	527
100	676	549
102	758	529
103	742	530
104	722	531
107	609	546
108	682	536
109	571	545
110	644	537
112	625	538
113	608	542
116	490	547
117	574	546
118	459	544
119	565	553
121	585	556
122	607	559
124	572	548
126	639	559
127	601	545
128	618	566
130	598	566
131	576	569
133	506	542
135	542	578
136	464	545
137	512	575
138	496	578
140	481	579
142	384	542
144	454	593
145	411	546
146	496	593
147	520	593
149	541	593
151	556	543
153	613	597
154	534	541
155	674	593
156	691	593
158	707	593
160	431	543
161	790	595
163	388	539
164	847	592
165	866	590
167	888	592
169	368	541
170	1023	592
172	461	543
173	1023	592
174	1023	592
175	1023	590
178	564	539
179	922	591
181	525	541
182	789	591
183	736	591
184	686	590
187	428	544
188	574	588
189	384	542
191	516	589
192	509	591
193	537	592
196	434	544
197	636	590
198	543	552
200	708	587
201	714	585
202	696	582
205	554	553
206	640	580
207	520	555
209	587	580
210	560	578
211	537	578
214	447	559
215	491	575
216	436	564
218	485	577
219	528	577
220	580	577
223	620	571
224	675	576
225	695	572
226	698	573
228	672	572
229	642	572
232	612	572
233	585	573
234	556	572
235	529	572
237	503	573
238	478	573
240	453	572
242	442	575
243	469	576
244	515	577
246	569	577
247	620	577
249	658	576
251	676	575
252	669	573
253	638	572
255	608	573
255	579	573
255	551	574
255	524	575
255	499	574
255	472	574
255	448	574
255	425	574
255	424	577
255	455	577
255	503	578
255	557	578
255	606	578
255	643	578
255	660	577
255	655	575
255	627	575
255	597	574
255	568	575
255	540	575
255	513	575
255	487	575
255	461	575
255	437	575
255	412	575
255	401	577
255	428	578
255	475	579
255	531	579
255	584	579
255	625	579
255	648	577
255	648	576
255	624	575
255	593	575
255	564	574
255	536	576
255	509	576
255	483	575
255	456	575
255	431	575
255	407	575
255	394	577
255	416	578
255	463	580
255	518	580
255	572	579
255	615	580
255	642	578
255	644	577
255	623	576
255	591	576
255	562	576
255	534	575
255	506	576
255	479	576
255	454	576
255	428	576
255	404	575
255	386	576
255	403	578
255	446	580
255	503	580
255	558	580
255	603	580
255	635	578
255	642	577
255	626	575
255	593	576
255	563	577
255	536	576
255	508	576
255	480	576
255	455	576
255	431	575
255	405	576
255	387	577
255	400	579
255	442	580
255	497	580
255	551	581
255	598	579
255	632	579
255	641	578
255	627	576
255	596	576
255	567	577
255	538	576
255	511	577
255	484	577
255	457	577
255	432	576
255	407	576
255	384	576
255	389	579
255	426	580
255	481	580
255	537	580
255	587	579
255	624	580
255	639	577
255	630	577
255	601	576
255	571	576
255	542	576
255	513	577
255	486	576
255	460	577
255	434	576
255	409	576
255	387	576
255	386	578
255	419	580
255	472	580
255	529	580
255	581	579
255	619	579
255	638	578
255	633	577
255	604	576
255	574	576
255	545	576
255	517	577
255	490	576
255	464	576
255	441	577
255	412	576
255	389	576
255	381	578
255	410	579
255	461	581
255	517	580
255	571	580
255	613	579
255	638	578
255	635	577
255	609	576
255	578	577
255	549	576
255	522	577
255	494	577
255	467	576
255	441	576
255	416	577
255	392	576
255	383	578
255	406	579
255	454	580
255	510	580
255	567	580
255	608	579
255	635	578
255	637	578
255	615	576
255	583	577
255	555	577
255	526	577
255	498	577
255	471	577
255	445	577
255	420	576
255	396	576
255	379	577
255	398	580
255	442	580
255	501	580
255	555	580
255	601	580
255	631	579
255	636	578
255	619	576
255	587	577
255	558	577
255	530	577
255	502	577
255	476	576
255	449	576
255	424	577
255	400	576
255	381	577
255	393	579
255	435	580
255	491	581
255	548	581
255	595	579
255	629	579
255	636	577
255	623	577
255	592	577
255	563	576
255	534	576
255	506	576
255	479	577
255	453	577
255	427	576
255	403	576
255	381	576
255	388	579
255	427	580
255	482	580
255	539	581
255	588	579
255	623	579
255	637	578
255	628	577
255	597	576
255	567	577
255	538	577
255	510	576
255	483	576
255	457	576
255	431	576
255	407	576
255	384	577
255	385	578
255	420	580
255	473	581
255	531	581
255	581	580
255	620	579
255	638	578
255	631	576
255	602	576
255	571	577
255	543	577
255	515	577
255	488	577
255	461	576
255	434	577
