V2_mean	Isense_mean	dt
510	509	500	0
PWM	V2_read	Isense_read
1	511	509
2	510	509
3	510	509
5	523	509
6	865	509
7	878	509
8	878	509
10	857	509
11	830	509
12	827	509
14	826	509
15	829	509
16	830	510
17	830	509
19	832	509
20	835	508
21	836	508
22	839	510
24	841	509
25	846	508
26	848	509
28	850	510
29	855	510
30	859	509
31	859	509
33	862	509
34	865	510
35	867	509
36	869	509
38	870	509
39	872	510
40	873	510
42	874	509
43	875	509
44	875	509
45	874	509
47	874	509
48	872	509
49	871	509
51	869	508
52	866	509
53	863	509
54	860	509
56	858	509
57	853	509
58	850	510
59	847	509
61	844	509
62	837	509
63	832	509
65	829	509
66	822	509
67	818	509
68	815	509
70	813	509
71	807	510
72	806	509
73	805	509
75	805	509
76	806	509
77	809	509
79	813	509
80	820	509
81	828	510
82	834	509
84	841	509
85	855	509
86	861	509
87	867	510
89	873	510
90	879	509
91	889	510
93	892	509
94	901	510
95	904	509
96	907	509
98	910	509
99	912	509
100	914	509
102	915	510
103	914	509
104	913	509
105	912	509
107	910	509
108	906	509
109	903	509
110	897	510
112	895	509
113	887	509
114	880	510
116	874	510
117	862	509
118	855	510
119	848	509
121	839	509
122	826	509
123	819	509
124	811	509
126	804	509
127	790	509
128	783	509
130	777	509
131	774	510
132	771	509
133	770	509
135	770	508
136	770	509
137	768	510
138	768	510
140	767	509
141	766	509
142	764	510
144	764	510
145	762	510
146	762	510
147	759	510
149	758	510
150	756	510
151	752	510
153	752	510
154	751	510
155	748	510
156	746	511
158	745	511
159	743	511
160	740	512
161	738	511
163	736	512
164	733	512
165	731	512
167	728	512
168	726	513
169	723	512
170	720	512
172	717	513
173	714	514
174	711	514
175	708	514
177	705	514
178	702	515
179	700	514
181	695	515
182	692	515
183	688	516
184	686	516
186	681	516
187	678	516
188	673	517
189	670	517
191	665	517
192	663	517
193	658	518
195	654	518
196	649	518
197	646	519
198	641	518
200	637	519
201	635	520
202	628	520
204	623	520
205	618	521
206	613	520
207	609	521
209	604	521
210	599	521
211	593	522
212	589	522
214	583	523
215	578	523
216	576	523
218	577	523
219	584	524
220	583	524
221	576	524
223	570	524
224	540	525
225	533	525
226	527	526
228	520	526
229	792	527
230	783	525
232	773	526
233	763	527
234	753	527
235	743	528
237	733	529
238	722	528
239	720	528
240	737	528
242	760	529
243	775	529
244	781	530
246	722	531
247	557	531
248	569	531
249	579	531
251	599	532
252	673	532
253	662	533
255	650	532
255	638	533
255	628	533
255	616	533
255	605	534
255	596	534
255	584	534
255	593	534
255	615	534
255	640	535
255	660	534
255	674	535
255	676	535
255	669	536
255	654	535
255	641	536
255	627	536
255	615	536
255	603	536
255	591	537
255	578	537
255	567	537
255	555	537
255	544	537
255	533	537
255	522	538
255	528	537
255	554	537
255	584	538
255	610	538
255	629	537
255	639	538
255	639	538
255	625	538
255	611	539
255	598	538
255	584	540
255	572	540
255	559	540
255	546	540
255	534	540
255	523	540
255	511	540
255	500	540
255	488	540
255	488	540
255	512	540
255	541	539
255	573	540
255	597	539
255	613	540
255	618	540
255	613	541
255	597	540
255	583	541
255	569	542
255	557	541
255	544	541
255	531	541
255	519	541
255	507	541
255	494	541
255	483	541
255	472	541
255	463	541
255	476	541
255	508	541
255	541	541
255	570	540
255	591	541
255	603	541
255	605	542
255	593	541
255	578	543
255	564	542
255	550	542
255	537	542
255	524	542
255	511	542
255	499	543
255	488	541
255	476	542
255	464	542
255	453	542
255	457	542
255	485	542
255	515	542
255	547	542
255	573	542
255	592	542
255	597	542
255	593	542
255	578	543
255	563	543
255	549	543
255	537	543
255	523	543
255	510	543
255	498	543
255	486	543
255	473	543
255	461	543
255	451	542
255	443	542
255	460	542
255	492	542
255	527	542
255	557	542
255	579	542
255	591	543
255	593	542
255	581	543
255	567	543
255	552	543
255	538	543
255	525	543
255	512	544
255	499	543
255	487	543
255	476	543
255	463	543
255	451	542
255	441	542
255	445	543
255	474	542
255	505	543
255	540	542
255	564	543
255	584	543
255	589	543
255	586	543
255	571	543
255	556	543
255	542	543
255	529	543
255	516	543
255	503	543
255	490	543
255	478	542
255	465	543
255	454	543
255	443	542
255	435	542
255	453	543
255	490	543
255	522	542
255	547	543
255	573	543
255	587	543
255	589	543
255	577	543
255	561	543
255	547	543
255	533	543
255	520	543
255	507	543
255	494	544
255	482	543
255	469	543
255	458	543
255	448	543
255	435	543
255	437	542
255	464	542
255	497	543
255	533	542
255	559	543
255	578	543
255	587	542
255	583	543
255	569	544
255	554	543
255	540	544
255	527	544
255	514	543
255	500	543
255	488	543
255	477	543
255	463	544
255	452	543
255	441	543
255	432	543
255	447	543
255	479	542
255	513	543
255	546	542
255	569	543
255	583	542
255	587	544
255	575	543
255	560	544
255	546	543
255	531	543
255	519	543
255	506	543
255	493	543
255	480	543
255	469	544
255	456	543
255	445	543
255	433	543
255	437	543
255	465	543
255	496	542
255	533	543
255	558	543
255	578	543
255	585	543
255	584	543
255	569	544
255	553	544
255	539	544
255	526	544
255	512	544
255	500	544
255	488	543
255	475	543
255	462	544
255	451	543
255	439	543
255	432	543
255	448	543
255	479	543
255	514	543
255	544	543
255	569	543
255	581	542
255	586	543
255	575	543
255	561	543
255	546	543
255	532	544
255	518	543
255	506	543
255	494	543
255	481	544
255	469	544
255	456	544
255	445	543
255	434	543
255	435	543
255	460	543
255	493	543
255	529	543
255	555	543
255	575	543
255	586	542
255	582	544
255	568	543
255	553	543
255	539	543
255	529	544
255	513	544
255	500	544
255	487	543
255	475	544
255	462	543
255	451	543
255	440	543
255	430	544
255	443	543
255	475	543
255	510	542
255	542	543
255	565	543
255	581	543
255	586	543
255	575	543
255	560	544
255	545	544
255	532	543
255	519	543
255	505	543
255	493	544
255	481	543
255	468	544
255	456	543
255	445	543
255	434	543
255	433	544
255	459	543
255	492	543
255	528	543
255	554	543
255	575	543
255	585	543
255	583	543
255	569	544
255	554	543
255	540	544
255	527	544
255	513	543
255	500	543
255	487	544
255	476	543
255	463	543
255	452	543
255	440	543
255	431	543
255	442	543
255	474	543
255	510	543
255	540	543
255	567	543
255	579	543
255	587	543
255	576	544
255	561	543
255	547	543
255	533	543
255	520	544
255	506	543
255	494	543
255	481	543
255	469	544
255	457	543
255	446	543
255	433	543
255	434	543
255	460	543
255	492	543
255	528	542
255	553	542
255	576	543
255	585	543
255	585	543
255	569	543
255	553	544
255	541	543
255	527	544
255	514	543
255	501	544
255	488	543
255	476	544
255	464	544
255	452	543
255	441	543
255	430	544
255	443	543
255	472	543
255	508	543
255	539	543
255	566	543
255	580	543
255	588	543
255	577	543
255	562	544
255	547	543
255	534	543
255	521	543
255	507	544
255	495	544
255	482	543
255	470	544
255	458	543
255	446	543
255	435	543
255	432	543
255	455	543
255	488	543
255	525	543
255	551	543
255	573	543
255	585	543
255	584	543
255	570	544
255	555	543
255	541	543
255	528	544
255	514	544
255	502	544
255	489	544
255	477	543
255	464	543
255	453	543
255	441	543
255	431	543
255	440	543
255	472	543
255	506	543
255	538	543
255	564	543
255	580	543
255	588	543
255	577	543
255	563	544
255	548	543
255	535	543
255	521	543
255	508	544
255	495	543
255	483	543
255	470	543
255	458	543
255	447	543
255	436	543
255	433	542
255	457	543
255	489	543
255	526	543
255	550	543
255	575	543
255	586	544
255	585	544
255	570	543
255	556	544
255	542	543
255	529	544
255	515	543
255	503	543
255	490	544
255	477	543
255	465	544
255	454	543
255	441	543
255	432	543
255	441	543
255	472	543
255	507	542
255	536	543
255	565	543
255	580	543
255	588	543
255	578	543
255	563	544
255	549	543
255	535	544
255	522	544
255	509	543
255	496	543
255	483	543
255	471	543
255	458	544
255	448	543
255	436	543
255	430	543
255	452	543
255	485	543
255	522	543
255	549	543
255	572	544
255	585	543
255	585	543
255	572	544
255	557	544
255	542	544
255	530	544
255	516	544
255	503	543
255	491	543
255	477	543
255	466	544
255	455	543
255	443	543
255	432	543
255	438	543
255	469	544
255	504	543
255	535	542
255	562	543
255	579	543
255	587	543
255	579	544
255	564	544
255	549	543
255	536	543
255	522	543
255	509	543
255	496	544
255	484	543
255	472	544
255	459	543
255	448	543
255	437	543
255	432	543
255	453	542
255	486	543
255	522	543
255	548	543
255	572	543
255	585	544
255	586	544
255	572	543
255	557	543
255	544	544
255	530	543
255	518	543
255	504	544
255	491	544
255	479	544
255	467	543
255	454	544
255	443	543
255	432	543
255	437	542
255	464	543
255	502	543
255	534	543
255	561	543
255	577	543
255	587	543
255	579	543
255	565	544
255	551	543
255	536	544
255	523	544
255	509	543
255	496	543
255	484	543
255	472	544
255	460	543
255	448	543
255	438	543
255	430	543
255	449	543
255	482	543
255	519	542
255	547	543
255	570	543
255	584	543
255	586	543
255	574	543
255	559	543
255	545	544
255	531	543
255	518	543
255	505	544
255	492	544
255	479	543
255	467	543
255	455	544
255	444	543
255	433	543
255	437	543
255	465	543
255	501	543
255	533	543
255	561	543
255	577	543
255	587	543
255	580	543
255	565	544
255	551	544
255	538	543
255	524	543
255	509	544
255	497	543
255	485	544
255	473	543
255	460	543
255	449	543
255	437	544
255	432	544
255	451	543
255	484	543
255	521	542
255	545	543
255	571	543
255	584	543
255	587	543
255	574	544
255	559	544
255	545	543
255	531	543
255	518	544
255	505	543
255	492	543
255	479	544
255	467	544
255	455	544
255	443	543
255	432	543
255	434	543
255	463	543
255	499	543
255	531	543
255	560	543
255	577	543
255	587	543
255	581	543
255	566	543
255	552	543
255	538	544
255	525	544
255	510	544
255	498	544
255	486	543
255	473	543
255	461	543
255	449	544
255	438	543
255	431	543
255	450	543
255	482	543
255	518	543
255	544	543
255	570	543
255	584	543
255	586	543
255	574	544
255	559	543
255	546	544
255	531	544
255	518	544
255	505	543
255	492	544
255	479	544
255	467	543
255	455	543
255	444	543
255	433	543
255	434	543
255	462	543
255	497	543
255	529	543
255	559	542
255	576	543
255	586	543
255	583	543
255	567	543
255	552	544
255	538	543
255	525	544
255	511	543
255	498	544
255	486	543
255	473	544
255	462	544
255	450	543
255	438	543
255	431	542
255	448	543
255	480	544
255	517	542
255	543	542
255	569	543
255	583	543
255	586	544
255	575	543
255	560	543
255	546	543
255	532	544
255	518	544
255	506	543
255	493	543
255	480	544
255	468	544
255	456	544
255	445	543
255	433	543
255	433	543
255	459	542
255	496	542
255	529	544
255	558	543
255	576	543
255	587	543
255	582	543
255	568	544
255	553	543
255	539	543
255	526	544
255	512	544
255	499	544
255	487	543
255	474	544
255	462	544
255	450	543
255	439	543
255	431	542
255	447	542
255	479	543
255	515	543
255	542	542
255	569	543
255	583	543
255	586	543
255	575	544
255	560	544
255	546	544
255	532	544
255	519	543
255	506	543
255	493	544
255	481	544
255	468	544
255	457	543
255	445	543
255	434	543
255	436	543
255	461	543
255	498	542
255	530	543
255	558	543
255	576	543
255	586	543
255	583	543
255	569	544
255	556	544
255	540	543
255	525	543
255	512	544
255	499	544
255	487	544
255	474	543
255	462	543
255	451	544
255	439	543
255	431	543
255	446	542
255	478	543
255	513	543
255	541	543
255	567	543
255	582	543
255	586	544
255	575	543
255	561	543
255	547	544
255	533	544
255	520	543
255	507	543
255	493	544
255	481	544
255	469	543
255	456	543
255	445	543
255	434	543
255	435	543
255	458	543
255	494	543
255	528	543
255	556	543
255	575	544
255	585	544
255	583	544
255	569	544
255	554	544
255	539	544
255	526	544
255	512	543
255	500	543
255	487	544
255	474	544
255	463	544
255	451	543
255	439	544
255	429	543
255	444	544
255	475	543
255	511	543
255	542	543
255	565	544
255	581	543
255	585	543
255	577	543
255	562	543
255	547	544
255	533	544
255	520	543
255	507	544
255	495	544
255	482	543
255	469	543
255	457	543
255	446	543
255	434	544
255	432	543
255	455	542
255	491	543
255	525	542
255	554	543
255	573	543
255	585	544
255	583	543
255	570	543
255	554	543
255	541	543
255	528	544
255	513	544
255	500	544
255	488	544
255	475	544
255	463	544
255	451	543
255	440	543
255	429	544
255	441	542
255	472	543
255	508	542
255	539	543
255	565	543
255	581	543
255	586	544
255	578	543
255	563	544
255	549	544
255	534	544
255	521	544
255	508	543
255	495	544
255	482	543
255	470	543
255	458	544
255	446	544
255	435	543
255	432	543
255	452	542
255	488	543
255	523	543
255	553	543
255	573	543
255	585	543
255	584	543
255	570	544
255	555	543
255	541	544
255	524	544
255	514	544
255	501	544
255	488	543
255	475	543
255	464	543
255	452	543
255	441	543
255	430	542
255	443	543
255	473	543
255	507	543
255	539	543
255	566	543
255	581	544
255	586	543
255	579	543
255	563	543
255	549	544
255	535	544
255	522	544
255	508	543
255	496	543
255	483	543
255	471	544
255	459	543
255	447	543
255	435	543
255	431	543
255	451	543
255	487	543
255	522	542
255	552	543
255	572	542
255	585	543
255	585	543
255	572	543
255	556	544
255	542	544
255	529	543
255	515	544
255	502	543
255	489	544
255	476	544
255	465	543
255	449	544
255	441	544
255	431	543
255	441	543
255	471	543
255	505	542
255	537	543
255	561	543
255	580	543
255	585	543
255	580	543
255	564	543
255	550	544
255	535	544
255	521	544
255	509	543
255	496	544
255	483	543
255	472	543
255	459	543
255	447	544
255	436	543
255	430	543
255	450	543
255	485	543
